beer_beerid,beer_name,brewery_name,review_overall,review_aroma,review_appearance,beer_style,review_palate,review_taste,beer_abv
70398,Festivale Plus Sticke Alt Bourbon Barrel Aged,Beau's All Natural Brewing Company,4.5,4,4,Altbier,4,4.5,11
60686,Sticke It To The Man,O'Fallon Brewery,4.5,2.5,3.5,Altbier,4,4.5,10
56772,Uber Doppelsticke,Beer Works,4.5,4.5,4,Altbier,4.5,4.5,10
47886,84/09 Double Alt (25th Anniversary Beer),Widmer Brothers Brewing Company,4.5,3.5,4.5,Altbier,4,4.5,9.8
58295,Über Alt,Rush River Brewing Company,4.5,4,4,Altbier,4.5,4.5,8.5
68786,Mad Scientist #3,Sixpoint Brewery,4.5,4,4.5,Altbier,4,4.5,8.5
24042,Uerige Doppelsticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,5,4.5,4,Altbier,4,5,8.5
74727,Uerige Doppesticke Aged In Ransom Pinot Noir/Whiskey Barrels,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,4.5,4.5,4,Altbier,4.5,4,8.5
76443,Doppelsticke Altbier,Dry Dock Brewing Co.,3,3,4,Altbier,3.5,3.5,8.3
48068,Mission Imperial Alt,Mission Brewery,3,4,4,Altbier,3.5,4,8.25
71050,Doppel Ernst Imperial Alt,Equinox Brewing Company,4.5,4.5,4.5,Altbier,4,4.5,8.2
77022,UberAlt,Yellowhammer Brewing,4.5,4,4,Altbier,4.5,4,8.1
46958,Arbor Brewing Olde Number 33 Alt Bier,Arbor Brewing Company,4.5,4.5,4,Altbier,4,4.5,8
14376,Vleteren Alt,Brouwerij Deca Services NV,4,4,4,Altbier,4,4,8
35405,Victor's MemoriAle Altbier,Two Brothers Brewing Company,5,4.5,5,Altbier,5,4.5,7.8
45079,Kuhnhenn Double Secret Probation Altbier (Double Sticke Alt),Kuhnhenn Brewing Company,4,3.5,4,Altbier,4,4.5,7.75
61442,Alt Together Now,District ChopHouse & Brewery,4,4,4,Altbier,4,4.5,7.5
75693,ALTitude,Tuckerman Brewing Co.,4,3.5,3.5,Altbier,4,4,7.5
53577,Boom Sticke Alt,Iron Hill Brewery & Restaurant,4.5,4,4,Altbier,4,4.5,7.5
67324,Freigeist Hoppeditz,Gasthaus-Brauerei Braustelle,4.5,4.5,4,Altbier,4.5,4.5,7.5
67355,Freigeist Hoppeditz Firlefanz KP,Gasthaus-Brauerei Braustelle,4.5,4.5,4,Altbier,4.5,4.5,7.5
48743,Påsk Alt Bier,Sigtuna Brygghus,5,4,4.5,Altbier,4.5,5,7.5
36663,Cambridge House Frühling Ale,The Cambridge House Brewpub,4.5,3.5,4,Altbier,4,4,7.2
273,Double Bag,Long Trail Brewing Co.,5,4,4.5,Altbier,4.5,4,7.2
47120,Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company,4.5,4,4.5,Altbier,5,4.5,7.2
